Accommodation name,Property ID,Date,Day,Price per night without tax,Year,Month,Day of the Week,Weekend
Test home 1,123456,2022-08-06,5,183.0,2022,8,Saturday,True
Test home 1,123456,2022-08-07,6,216.0,2022,8,Sunday,True
Test home 1,123456,2022-08-08,0,229.0,2022,8,Monday,False
Test home 1,123456,2022-08-09,1,209.0,2022,8,Tuesday,False
Test home 1,123456,2022-08-10,2,259.0,2022,8,Wednesday,False
Test home 1,123456,2022-08-11,3,298.0,2022,8,Thursday,False
Test home 1,123456,2022-08-12,4,239.0,2022,8,Friday,False
Test home 1,123456,2022-08-13,5,243.0,2022,8,Saturday,True
Test home 1,123456,2022-08-14,6,257.0,2022,8,Sunday,True
Test home 1,123456,2022-08-15,0,249.0,2022,8,Monday,False
Test home 1,123456,2022-08-16,1,204.0,2022,8,Tuesday,False
Test home 1,123456,2022-08-17,2,207.0,2022,8,Wednesday,False
Test home 1,123456,2022-08-18,3,224.0,2022,8,Thursday,False
Test home 1,123456,2022-08-19,4,215.0,2022,8,Friday,False
Test home 1,123456,2022-08-20,5,202.0,2022,8,Saturday,True
Test home 1,123456,2022-08-21,6,168.0,2022,8,Sunday,True
Test home 1,123456,2022-08-22,0,179.0,2022,8,Monday,False
Test home 1,123456,2022-08-23,1,192.0,2022,8,Tuesday,False
Test home 1,123456,2022-08-24,2,207.0,2022,8,Wednesday,False
Test home 1,123456,2022-08-25,3,253.0,2022,8,Thursday,False
Test home 1,123456,2022-08-26,4,218.0,2022,8,Friday,False
Test home 1,123456,2022-08-27,5,209.0,2022,8,Saturday,True
Test home 1,123456,2022-08-28,6,172.0,2022,8,Sunday,True
Test home 1,123456,2022-08-29,0,104.0,2022,8,Monday,False
Test home 1,123456,2022-08-30,1,92.0,2022,8,Tuesday,False
Test home 1,123456,2022-08-31,2,107.0,2022,8,Wednesday,False
Test home 1,123456,2022-09-01,3,108.0,2022,9,Thursday,False
Test home 1,123456,2022-09-02,4,130.0,2022,9,Friday,False
Test home 1,123456,2022-09-03,5,207.0,2022,9,Saturday,True
Test home 1,123456,2022-09-04,6,159.0,2022,9,Sunday,True
Test home 1,123456,2022-09-05,0,142.0,2022,9,Monday,False
Test home 1,123456,2022-09-06,1,151.0,2022,9,Tuesday,False
Test home 1,123456,2022-09-07,2,143.0,2022,9,Wednesday,False
Test home 1,123456,2022-09-08,3,147.0,2022,9,Thursday,False
Test home 1,123456,2022-09-09,4,173.0,2022,9,Friday,False
Test home 1,123456,2022-09-10,5,182.0,2022,9,Saturday,True
Test home 1,123456,2022-09-11,6,136.0,2022,9,Sunday,True
Test home 1,123456,2022-09-12,0,129.0,2022,9,Monday,False
Test home 1,123456,2022-09-13,1,133.0,2022,9,Tuesday,False
Test home 1,123456,2022-09-14,2,177.0,2022,9,Wednesday,False
Test home 1,123456,2022-09-15,3,175.0,2022,9,Thursday,False
Test home 1,123456,2022-09-16,4,214.0,2022,9,Friday,False
Test home 1,123456,2022-09-17,5,214.0,2022,9,Saturday,True
Test home 1,123456,2022-09-18,6,135.0,2022,9,Sunday,True
Test home 1,123456,2022-09-19,0,111.0,2022,9,Monday,False
Test home 1,123456,2022-09-20,1,109.0,2022,9,Tuesday,False
Test home 1,123456,2022-09-21,2,119.0,2022,9,Wednesday,False
Test home 1,123456,2022-09-22,3,191.0,2022,9,Thursday,False
Test home 1,123456,2022-09-23,4,228.0,2022,9,Friday,False
Test home 1,123456,2022-09-24,5,222.0,2022,9,Saturday,True
Test home 1,123456,2022-09-25,6,138.0,2022,9,Sunday,True
Test home 1,123456,2022-09-26,0,94.0,2022,9,Monday,False
Test home 1,123456,2022-09-27,1,128.0,2022,9,Tuesday,False
Test home 1,123456,2022-09-28,2,111.0,2022,9,Wednesday,False
Test home 1,123456,2022-09-29,3,112.0,2022,9,Thursday,False
Test home 1,123456,2022-09-30,4,202.0,2022,9,Friday,False
Test home 1,123456,2022-10-01,5,165.0,2022,10,Saturday,True
Test home 1,123456,2022-10-02,6,132.0,2022,10,Sunday,True
Test home 1,123456,2022-10-03,0,105.0,2022,10,Monday,False
Test home 1,123456,2022-10-04,1,135.0,2022,10,Tuesday,False
Test home 1,123456,2022-10-05,2,105.0,2022,10,Wednesday,False
Test home 1,123456,2022-10-06,3,179.0,2022,10,Thursday,False
Test home 1,123456,2022-10-07,4,223.0,2022,10,Friday,False
Test home 1,123456,2022-10-08,5,225.0,2022,10,Saturday,True
Test home 1,123456,2022-10-09,6,165.0,2022,10,Sunday,True
Test home 1,123456,2022-10-10,0,115.0,2022,10,Monday,False
Test home 1,123456,2022-10-11,1,111.0,2022,10,Tuesday,False
Test home 1,123456,2022-10-12,2,133.0,2022,10,Wednesday,False
Test home 1,123456,2022-10-13,3,116.0,2022,10,Thursday,False
Test home 1,123456,2022-10-14,4,161.0,2022,10,Friday,False
Test home 1,123456,2022-10-15,5,158.0,2022,10,Saturday,True
