Booking number,Booking Date,Status,Check-in date,Check-out date,nights,Price per night without tax,Rent with VAT on top,Rent without VAT,Extras with VAT on top,Extras without VAT,Booking total with tax,Booking total without tax,Total tax,Paid,Adults,Children,Babies,Accommodation name,Property ID,Building,City,Portal / Agent,Website of origin,Booking window,Check-in Month,Season,Check-in Day,Weekend
TEST93,2023-07-17,Confirmed,2023-08-20,2023-08-27,7.0,237.46,1662.21,1662.21,65.0,65.0,1762.21,1727.21,35.0,1762.21,5,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,34,8,High,Sunday,True
TEST94,2023-07-16,Confirmed,2023-07-16,2023-07-17,1.0,106.92,106.92,106.92,65.0,65.0,177.92,171.92,6.0,177.92,6,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,0,7,Medium,Sunday,True
TEST95,2023-07-13,Confirmed,2023-08-10,2023-08-13,3.0,288.0,864.0,864.0,65.0,65.0,944.0,929.0,15.0,929.0,5,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,28,8,High,Thursday,False
TEST96,2023-07-09,Confirmed,2023-07-17,2023-07-22,5.0,256.41,1282.05,1282.05,65.0,65.0,1377.05,1347.05,30.0,1377.05,6,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,8,7,Medium,Monday,False
TEST97,2023-07-09,Confirmed,2023-07-09,2023-07-11,2.0,117.81,235.62,235.62,65.0,65.0,308.62,300.62,8.0,308.62,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,0,7,Medium,Sunday,True
TEST98,2023-07-02,Confirmed,2023-07-05,2023-07-09,4.0,265.0,1060.0,1060.0,65.0,65.0,1141.0,1125.0,16.0,1125.0,4,1,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,3,7,Medium,Wednesday,False
TEST99,2023-07-02,Confirmed,2023-08-02,2023-08-05,3.0,310.2,930.6,930.6,65.0,65.0,1010.6,995.6,15.0,1010.6,5,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,31,8,High,Wednesday,False
TEST100,2023-06-29,Confirmed,2023-07-26,2023-07-31,5.0,325.75,1628.76,1628.76,65.0,65.0,1728.76,1693.76,35.0,1728.76,7,0,0,Test home 1,123456,Test Modern apartments,Madrid,Homeaway.com,www.vrbo.com,27,7,Medium,Wednesday,False
TEST101,2023-06-24,Confirmed,2023-07-11,2023-07-16,5.0,335.41,1677.06,1677.06,65.0,65.0,1762.06,1742.06,20.0,1762.06,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,17,7,Medium,Tuesday,False
TEST102,2023-06-14,Confirmed,2023-06-19,2023-06-22,3.0,157.41,472.23,472.23,65.0,65.0,549.23,537.23,12.0,549.23,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,5,6,Medium,Monday,False
TEST103,2023-06-09,Confirmed,2023-06-28,2023-07-03,5.0,280.63,1403.15,1403.15,106.7,106.7,1524.85,1509.85,15.0,1524.85,6,3,0,Test home 1,123456,Test Modern apartments,Madrid,Olalahomes.com,www.olalahomes.com,19,6,Medium,Wednesday,False
